205667000468,LA BALSA,105667000013,I. E. SAN RAFAEL,Antioquia,ORIENTE,San Rafael,667,47,Activo
205154001256,E. R. LA REVERSA,205154000179,C. E. R. SANTA ELENA,Antioquia,BAJO CAUCA,Caucasia,154,47,Activo
205093000596,C. E. R. LA GUAMALITA,205093000171,C. E. R. LA GUAMALA,Antioquia,SUROESTE,Betulia,093,46,Activo
205756000056,C. E. R. ROBLALITO A,105756000493,I. E. BRAULIO MEJIA,Antioquia,ORIENTE,Sonson,756,45,Activo
205490000772,C.E.R. NUESTRA SENORA DEL CARMEN,205490000900,I. E. R. LAS CHANGAS,Antioquia,URABA,Necocli,490,44,Activo
205665000975,C. E. R. EL PELAYITO,205665000517,I. E. R. ANTONIO NARINO,Antioquia,URABA,San Pedro De Uraba,665,44,Activo
205686000151,C. E. R. PONTEZUELA,205686000801,I. E. R. HOYO RICO,Antioquia,NORTE,Santa Rosa De Osos,686,44,Activo
205093000626,C. E. R. LAS ANIMAS,105093000109,I. E. SAN JOSE,Antioquia,SUROESTE,Betulia,093,43,Activo
205107000021,C. E. R. BUENAVISTA,105107000166,I. E. ANTONIO ROLDAN BETANCUR,Antioquia,NORTE,Briceno,107,43,Activo
205051001827,E. R. EL DESCANSO,205051000065,I. E. R. MONSENOR ESCOBAR VELEZ,Antioquia,URABA,San Juan De Uraba,659,43,Activo
205659000343,C. E. R. LAS PLACITAS,205051001401,I. E. R. EL FILO DE DAMAQUIEL,Antioquia,URABA,San Juan De Uraba,659,43,Activo
205190000061,C. E. R. EL BRASIL,105190000181,I. E. CISNEROS,Antioquia,NORDESTE,Cisneros,190,42,Activo
205197000725,I. E. R. EL RETIRO,205197000059,I. E. EVA TULIA QUINTERO DE TORO,Antioquia,ORIENTE,Cocorna,197,42,Activo
205197001012,C. E. R. MAZOTES,105197000160,I. E. COCORNA,Antioquia,ORIENTE,Cocorna,197,42,Activo
205264000182,C. E. R. SANTA ANA,205264000123,C. E. R. YERBABUENAL,Antioquia,NORTE,Entrerrios,264,42,Activo
